WaterLevel(%)    GaussianHalfHeightWidth(sec.)    highPassFilterCorner(Hz)    SACFile
0.0001 0.05 0.001 testRun_wl_0.0001_gauss_0.0500_hp_0.0010.sac
0.0001 0.05 0.005 testRun_wl_0.0001_gauss_0.0500_hp_0.0050.sac
0.0001 0.05 0.01 testRun_wl_0.0001_gauss_0.0500_hp_0.0100.sac
0.0001 0.05 0.02 testRun_wl_0.0001_gauss_0.0500_hp_0.0200.sac
0.0001 0.05 0.03 testRun_wl_0.0001_gauss_0.0500_hp_0.0300.sac
0.0001 0.05 0.05 testRun_wl_0.0001_gauss_0.0500_hp_0.0500.sac
0.0001 0.05 0.1 testRun_wl_0.0001_gauss_0.0500_hp_0.1000.sac
0.0001 0.05 0.15 testRun_wl_0.0001_gauss_0.0500_hp_0.1500.sac
0.0001 0.1 0.001 testRun_wl_0.0001_gauss_0.1000_hp_0.0010.sac
0.0001 0.1 0.005 testRun_wl_0.0001_gauss_0.1000_hp_0.0050.sac
0.0001 0.1 0.01 testRun_wl_0.0001_gauss_0.1000_hp_0.0100.sac
0.0001 0.1 0.02 testRun_wl_0.0001_gauss_0.1000_hp_0.0200.sac
0.0001 0.1 0.03 testRun_wl_0.0001_gauss_0.1000_hp_0.0300.sac
0.0001 0.1 0.05 testRun_wl_0.0001_gauss_0.1000_hp_0.0500.sac
0.0001 0.1 0.1 testRun_wl_0.0001_gauss_0.1000_hp_0.1000.sac
0.0001 0.1 0.15 testRun_wl_0.0001_gauss_0.1000_hp_0.1500.sac
0.0001 0.2 0.001 testRun_wl_0.0001_gauss_0.2000_hp_0.0010.sac
0.0001 0.2 0.005 testRun_wl_0.0001_gauss_0.2000_hp_0.0050.sac
0.0001 0.2 0.01 testRun_wl_0.0001_gauss_0.2000_hp_0.0100.sac
0.0001 0.2 0.02 testRun_wl_0.0001_gauss_0.2000_hp_0.0200.sac
0.0001 0.2 0.03 testRun_wl_0.0001_gauss_0.2000_hp_0.0300.sac
0.0001 0.2 0.05 testRun_wl_0.0001_gauss_0.2000_hp_0.0500.sac
0.0001 0.2 0.1 testRun_wl_0.0001_gauss_0.2000_hp_0.1000.sac
0.0001 0.2 0.15 testRun_wl_0.0001_gauss_0.2000_hp_0.1500.sac
0.0001 0.35 0.001 testRun_wl_0.0001_gauss_0.3500_hp_0.0010.sac
0.0001 0.35 0.005 testRun_wl_0.0001_gauss_0.3500_hp_0.0050.sac
0.0001 0.35 0.01 testRun_wl_0.0001_gauss_0.3500_hp_0.0100.sac
0.0001 0.35 0.02 testRun_wl_0.0001_gauss_0.3500_hp_0.0200.sac
